country_name, 1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Thailand,2000.014*,1998.349,2125.754,2235.462,2224.793,2121.391,2344.376,2174.168,2238.990,2250.938,2256.527,2262.607,2240.181,2341.135,2349.271,2354.221,2299.502,2253.372,2451.665,2264.956,2247.393,2272.919,2098.919,2218.077,2156.338,2125.710,2155.409,2127.654,2141.237,2118.249,2233.469,2303.674,2299.796,2276.523,2358.202,2397.085,2530.424,2506.441,2564.536,2524.422,2574.123,2554.472,2612.613,2630.214,2641.901,2709.158,2777.638,2734.967,2710.186,2672.048,2755.000,2743.000,2764.000,2733.000,2771.000,2784.999,2773.000,2762.000,2786.999,2808.999,2857.000,2856.000,
Turkey,2919.795*,2954.278,2902.586,2986.701,2972.616,2956.282,3051.250,3013.278,3022.354,2993.640,3073.039,3145.573,3204.359,3122.741,3138.582,3259.443,3339.688,3278.773,3277.500,3355.460,3431.691,3338.666,3417.567,3430.394,3420.219,3626.171,3614.343,3679.093,3710.331,3706.291,3752.128,3696.389,3677.907,3691.056,3683.423,3665.921,3633.988,3550.748,3603.097,3564.083,3608.335,3566.911,3554.161,3538.134,3559.002,3560.454,3595.894,3579.937,3546.775,3571.635,3651.000,3653.000,3690.000,3700.000,3663.000,3716.000,3681.000,3744.000,3788.000,3801.999,3830.000,3824.999,
Tanzania,1781.292*,1751.929,1764.503,1789.290,1707.445,1749.847,1827.511,1722.150,1713.302,1710.362,1711.341,1671.381,1683.473,1798.137,1876.198,2131.538,2173.283,2162.390,2142.063,2164.880,2153.623,2130.711,2165.493,2135.669,2170.041,2185.035,2184.777,2187.939,2137.619,2197.501,2126.828,2185.045,2118.190,2076.984,2046.589,1989.076,2016.369,1991.400,2061.180,2040.521,1979.245,2001.209,2077.236,1952.570,2065.410,2100.696,2108.271,2183.328,2106.295,2117.573,2229.000,2276.000,2306.000,2343.000,2355.000,2355.000,2367.000,2354.000,2336.000,2359.000,2373.000,2380.000,
Tajikistan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1996.836,2030.555,1994.677,1929.896,1878.371,1857.658,1889.801,1907.406,1931.830,1925.320,1901.105,1914.228,1939.076,2020.441,2033.059,2041.777,2067.892,2090.934,2263.999,2304.000,2321.999,2330.999,2385.999,2453.998,2520.998,2598.997,2679.000,2765.998,2760.000,2769.995,
Trinidad and Tobago,NaN,2277.919,2353.937,2354.694,2352.896,2371.178,2375.637,2326.414,2228.140,2375.079,2354.233,2415.486,2403.745,2454.235,2544.499,2483.323,2594.542,2577.656,2697.068,2691.925,2872.546,2863.912,2895.644,2917.326,2935.001,2818.698,2946.431,2848.135,2690.499,2589.945,2533.682,2571.351,2471.102,2447.663,2449.283,2491.132,2528.562,2502.525,2543.988,2548.937,2643.168,2691.146,2649.108,2607.743,2630.835,2610.905,2650.605,2691.209,2672.047,2682.451,2912.006,2969.998,2990.002,3014.998,2982.994,2982.000,2963.992,2979.988,2965.006,2952.981,2953.016,2937.979,
Serbia and Montenegro,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2979.001,2905.589,2775.356,2868.131,3002.488,2953.404,2860.250,2826.319,2639.028,2584.635,2590.187,2636.218,2622.938,2612.432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Samoa,NaN,1895.104,1912.051,1916.150,1947.970,1952.898,1951.342,2012.492,2099.383,2166.096,2225.346,2251.820,2246.681,2271.776,2304.434,2335.929,2351.769,2346.933,2321.393,2341.633,2299.501,2342.802,2363.951,2366.839,2362.264,2584.473,2495.771,2574.479,2592.898,2531.732,2500.208,2499.179,2387.111,2284.160,2339.955,2395.708,2421.820,2459.276,2506.885,2585.784,2636.098,2675.922,2671.430,2687.258,2742.821,2761.538,2733.388,2723.933,2780.433,2758.879,2874.764,2843.797,2882.840,2921.825,2978.867,2963.767,3005.722,2984.828,3036.783,3052.928,3048.943,3069.705,
Saint Thomas and Principe,NaN,2142.296,2047.948,2032.266,2063.063,2046.623,2025.901,2051.505,2054.417,2025.370,2017.809,1994.801,1976.772,1960.443,1808.444,1766.963,1860.243,1981.432,1995.727,1961.109,2009.925,2005.797,1986.884,2047.271,2049.486,2025.885,1899.879,1872.862,1942.163,2099.133,2152.283,2171.875,2138.696,2155.451,2183.304,2059.973,2112.226,2128.668,2159.641,2161.892,2300.726,2333.805,2363.932,2395.606,2406.020,2440.552,2450.154,2409.604,2380.706,2364.675,2340.820,2307.777,2328.926,2358.939,2321.871,2303.748,2350.885,2350.887,2351.800,2374.867,2415.889,2462.912,
Sri Lanka,2082.076*,2095.749,2118.012,2159.211,2263.284,2266.469,2317.154,2346.710,2344.910,2308.100,2287.633,2222.098,2180.515,2205.525,2197.464,2183.626,2195.959,2216.541,2280.389,2332.661,2297.657,2254.494,2264.803,2323.540,2307.770,2327.896,2303.636,2243.924,2259.961,2218.972,2182.102,2201.617,2166.259,2106.211,2300.076,2228.872,2245.562,2273.061,2298.880,2387.140,2323.584,2370.534,2349.332,2353.999,2377.824,2383.103,2407.961,2409.508,2463.035,2462.284,2489.001,2466.999,2534.000,2553.000,2594.001,2689.001,2754.999,2754.999,2772.000,2763.999,2846.001,2860.000,
Sudan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2589.000,2647.999,2657.000,2637.001,2608.000,2558.001,2585.000,2573.000,2621.000,2622.000,
